file,time_sec,activation,above_threshold
Distress_Event_3_024258_2MIN.wav,102.3,0.3156,0.0031
Distress_Event_3_024258_2MIN.wav,102.8,0.3132,0.0006
Distress_Event_3_024258_2MIN.wav,103.2,0.3138,0.0013
Distress_Event_3_024258_2MIN.wav,107.2,0.3132,0.0006
Distress_Event_3_024258_2MIN.wav,107.7,0.3143,0.0018
Distress_Event_3_024258_2MIN.wav,109.2,0.3139,0.0013
Distress_Event_3_024258_2MIN.wav,111.9,0.3134,0.0009
Distress_Event_3_024258_2MIN.wav,112.2,0.3143,0.0018
Distress_Event_3_024258_2MIN.wav,114.8,0.3144,0.0018
Distress_Event_3_024258_2MIN.wav,115.3,0.3153,0.0027
Distress_Event_3_024258_2MIN.wav,118.8,0.3146,0.0021
Distress_Event_3_024258_2MIN.wav,118.9,0.3132,0.0007
Impact_Event_024244_2MIN.wav,6.6,0.3134,0.0012
Impact_Event_024244_2MIN.wav,10.6,0.313,0.0008
Impact_Event_024244_2MIN.wav,13.0,0.3131,0.0009
Impact_Event_024244_2MIN.wav,16.5,0.3124,0.0002
Impact_Event_024244_2MIN.wav,16.9,0.3123,1e-04
Impact_Event_024244_2MIN.wav,17.0,0.3126,0.0004
Impact_Event_024244_2MIN.wav,18.8,0.3152,0.003
Impact_Event_024244_2MIN.wav,19.9,0.3139,0.0017
Impact_Event_024244_2MIN.wav,20.2,0.3134,0.0012
Impact_Event_024244_2MIN.wav,22.2,0.3144,0.0022
Impact_Event_024244_2MIN.wav,22.3,0.3125,0.0003
Impact_Event_024244_2MIN.wav,27.3,0.3128,0.0006
Impact_Event_024244_2MIN.wav,28.9,0.315,0.0028
Impact_Event_024244_2MIN.wav,33.5,0.3137,0.0015
Impact_Event_024244_2MIN.wav,39.9,0.314,0.0018
Impact_Event_024244_2MIN.wav,43.0,0.3146,0.0024
Impact_Event_024244_2MIN.wav,43.2,0.3151,0.0029
Impact_Event_024244_2MIN.wav,44.4,0.3131,0.0009
Impact_Event_024244_2MIN.wav,44.9,0.3129,0.0007
Impact_Event_024244_2MIN.wav,45.2,0.3125,0.0003
Impact_Event_024244_2MIN.wav,46.0,0.314,0.0018
Impact_Event_024244_2MIN.wav,46.4,0.3145,0.0023
Impact_Event_024244_2MIN.wav,47.0,0.3127,0.0005
Impact_Event_024244_2MIN.wav,47.8,0.3128,0.0006
Impact_Event_024244_2MIN.wav,48.4,0.3134,0.0012
Impact_Event_024244_2MIN.wav,50.1,0.3123,1e-04
Impact_Event_024244_2MIN.wav,50.6,0.3128,0.0006
Impact_Event_024244_2MIN.wav,51.5,0.3144,0.0022
Impact_Event_024244_2MIN.wav,52.4,0.3129,0.0006
Impact_Event_024244_2MIN.wav,52.9,0.3142,0.002
Impact_Event_024244_2MIN.wav,53.1,0.3134,0.0012
Impact_Event_024244_2MIN.wav,53.5,0.3128,0.0006
Impact_Event_024244_2MIN.wav,53.6,0.3124,1e-04
Impact_Event_024244_2MIN.wav,53.9,0.3123,0.0
Impact_Event_024244_2MIN.wav,54.5,0.3131,0.0009
Impact_Event_024244_2MIN.wav,54.9,0.3182,0.006
Impact_Event_024244_2MIN.wav,55.1,0.3144,0.0022
Impact_Event_024244_2MIN.wav,55.2,0.3148,0.0026
Impact_Event_024244_2MIN.wav,55.3,0.3123,1e-04
Impact_Event_024244_2MIN.wav,55.4,0.3123,1e-04
Impact_Event_024244_2MIN.wav,55.5,0.3137,0.0015
Impact_Event_024244_2MIN.wav,55.9,0.3129,0.0007
Impact_Event_024244_2MIN.wav,56.0,0.3172,0.005
Impact_Event_024244_2MIN.wav,56.0,0.3167,0.0045
Impact_Event_024244_2MIN.wav,57.4,0.3129,0.0007
Impact_Event_024244_2MIN.wav,57.4,0.313,0.0008
Impact_Event_024244_2MIN.wav,57.9,0.3136,0.0013
Impact_Event_024244_2MIN.wav,58.1,0.3125,0.0003
Impact_Event_024244_2MIN.wav,58.3,0.3125,0.0003
Impact_Event_024244_2MIN.wav,58.9,0.3124,0.0002
Impact_Event_024244_2MIN.wav,60.3,0.3136,0.0014
Impact_Event_024244_2MIN.wav,60.5,0.3143,0.0021
Impact_Event_024244_2MIN.wav,60.6,0.3124,0.0002
Impact_Event_024244_2MIN.wav,60.8,0.3142,0.002
Impact_Event_024244_2MIN.wav,62.4,0.3125,0.0003
Impact_Event_024244_2MIN.wav,62.5,0.3138,0.0016
Impact_Event_024244_2MIN.wav,62.6,0.3135,0.0013
Impact_Event_024244_2MIN.wav,63.5,0.3141,0.0019
Impact_Event_024244_2MIN.wav,64.3,0.3169,0.0047
Impact_Event_024244_2MIN.wav,67.5,0.3139,0.0017
Impact_Event_024244_2MIN.wav,73.5,0.3129,0.0007
Impact_Event_024244_2MIN.wav,74.7,0.3128,0.0006
Impact_Event_024244_2MIN.wav,75.2,0.3146,0.0024
Impact_Event_024244_2MIN.wav,75.2,0.3127,0.0005
Impact_Event_024244_2MIN.wav,75.2,0.3132,0.001
Impact_Event_024244_2MIN.wav,75.4,0.3132,0.001
Impact_Event_024244_2MIN.wav,75.4,0.3136,0.0014
Impact_Event_024244_2MIN.wav,75.5,0.3137,0.0015
Impact_Event_024244_2MIN.wav,75.8,0.3176,0.0054
Impact_Event_024244_2MIN.wav,77.8,0.3127,0.0005
Impact_Event_024244_2MIN.wav,82.1,0.3144,0.0022
Impact_Event_024244_2MIN.wav,84.0,0.3134,0.0012
Impact_Event_024244_2MIN.wav,84.5,0.314,0.0018
Impact_Event_024244_2MIN.wav,84.5,0.3162,0.004
Impact_Event_024244_2MIN.wav,85.3,0.3128,0.0006
Impact_Event_024244_2MIN.wav,85.8,0.3123,1e-04
Impact_Event_024244_2MIN.wav,87.2,0.3137,0.0015
Impact_Event_024244_2MIN.wav,87.5,0.3126,0.0004
Impact_Event_024244_2MIN.wav,88.3,0.3135,0.0013
Impact_Event_024244_2MIN.wav,91.4,0.3131,0.0009
Impact_Event_024244_2MIN.wav,91.5,0.3139,0.0017
Impact_Event_024244_2MIN.wav,91.7,0.3129,0.0007
Impact_Event_024244_2MIN.wav,91.9,0.3137,0.0015
Impact_Event_024244_2MIN.wav,92.2,0.3147,0.0025
Impact_Event_024244_2MIN.wav,99.7,0.3159,0.0037
